sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10124,Back Creek (Bland - Nsw),NSW,54.0,654.03,133.0,133.0,133.0
SAL10125,Back Creek (Gwydir - Nsw),NSW,20.0,160.84,0.0,0.0,0.0
SAL10126,Back Creek (Mid-Coast - Nsw),NSW,20.0,43.93,0.0,0.0,0.0
SAL10127,Back Creek (Queanbeyan-Palerang Regional - Nsw),NSW,7.0,59.14,380.0,380.0,380.0
SAL10128,Back Creek (Tenterfield - Nsw),NSW,4.0,262.73,81.0,81.0,81.0
SAL10129,Back Creek (Tweed - Nsw),NSW,27.0,9.65,350.0,350.0,350.0
SAL10130,Back Forest,NSW,91.0,8.9,252.0,252.0,252.0
SAL10131,Backmede,NSW,153.0,38.51,276.0,276.0,276.0
SAL10132,Backwater,NSW,19.0,169.19,0.0,0.0,0.0
SAL10133,Badgerys Creek,NSW,168.0,39.25,505.0,505.0,505.0
SAL10134,Badja,NSW,9.0,199.77,0.0,0.0,0.0
SAL10135,Baerami,NSW,93.0,212.75,245.0,245.0,245.0
SAL10136,Baerami Creek,NSW,27.0,518.61,250.0,250.0,250.0
SAL10137,Bagnoo,NSW,43.0,52.12,275.0,275.0,275.0
SAL10138,Bago,NSW,45.0,87.0,345.0,345.0,345.0
SAL10139,Bagotville,NSW,60.0,13.01,450.0,450.0,450.0
SAL10140,Bakers Creek (Mid-Coast - Nsw),NSW,41.0,56.4,250.0,250.0,250.0
SAL10141,Bakers Creek (Nambucca Valley - Nsw),NSW,24.0,77.84,100.0,100.0,100.0
SAL10142,Bakers Creek (Uralla - Nsw),NSW,13.0,217.6,0.0,0.0,0.0
SAL10143,Bakers Swamp,NSW,60.0,193.6,180.0,180.0,180.0
SAL10144,Balaclava (Nsw),NSW,574.0,3.5,500.0,500.0,500.0
SAL10145,Balala,NSW,122.0,483.85,175.0,175.0,175.0
SAL10146,Balcolyn,NSW,1002.0,1.06,390.0,390.0,390.0
SAL10147,Bald Blair,NSW,53.0,135.92,300.0,300.0,300.0
SAL10148,Bald Hills (Nsw),NSW,321.0,16.79,375.0,375.0,375.0
SAL10149,Bald Nob,NSW,20.0,103.01,205.0,205.0,205.0
SAL10150,Bald Ridge,NSW,17.0,197.78,200.0,200.0,200.0
SAL10151,Baldersleigh,NSW,55.0,220.96,0.0,0.0,0.0
SAL10152,Baldry,NSW,67.0,673.4,171.0,171.0,171.0
SAL10153,Balfours Peak,NSW,45.0,226.29,225.0,225.0,225.0
SAL10154,Balgowlah,NSW,8068.0,2.84,640.0,640.0,640.0
SAL10155,Balgowlah Heights,NSW,3546.0,2.44,1320.0,1320.0,1320.0
SAL10156,Balgownie,NSW,5722.0,5.47,450.0,450.0,450.0
SAL10157,Balickera,NSW,18.0,38.87,100.0,100.0,100.0
SAL10158,Balladoran,NSW,140.0,338.17,150.0,150.0,150.0
SAL10159,Ballalaba,NSW,29.0,66.39,255.0,255.0,255.0
SAL10160,Balldale,NSW,168.0,291.53,100.0,100.0,100.0
SAL10161,Ballengarra,NSW,97.0,32.1,400.0,400.0,400.0
SAL10162,Ballimore,NSW,240.0,321.04,240.0,240.0,240.0
SAL10163,Ballina,NSW,9735.0,26.77,360.0,360.0,360.0
SAL10164,Ballyroe,NSW,3.0,121.09,0.0,0.0,0.0
SAL10165,Balmain,NSW,10454.0,2.24,625.0,625.0,625.0
SAL10166,Balmain East,NSW,1900.0,0.5,617.0,617.0,617.0
SAL10167,Balmoral (Lake Macquarie - Nsw),NSW,730.0,1.22,380.0,380.0,380.0
SAL10168,Balmoral (Wingecarribee - Nsw),NSW,469.0,38.67,415.0,415.0,415.0
SAL10169,Balranald,NSW,1240.0,7650.02,200.0,200.0,200.0
SAL10170,Bamarang,NSW,35.0,17.6,260.0,260.0,260.0
SAL10171,Banda Banda,NSW,0.0,96.66,0.0,0.0,0.0
SAL10172,Bandon Grove,NSW,135.0,70.77,272.0,272.0,272.0
SAL10173,Bangadang,NSW,11.0,27.01,0.0,0.0,0.0
SAL10174,Bangalee (Nsw),NSW,818.0,9.76,450.0,450.0,450.0
SAL10175,Bangalow,NSW,2752.0,31.82,650.0,650.0,650.0
SAL10176,Bangheet,NSW,37.0,245.1,0.0,0.0,0.0
SAL10177,Bango,NSW,122.0,160.99,650.0,650.0,650.0
SAL10178,Bangor (Nsw),NSW,5536.0,5.72,650.0,650.0,650.0
SAL10179,Banksia,NSW,3277.0,1.39,500.0,500.0,500.0
SAL10180,Banksmeadow,NSW,508.0,6.06,620.0,620.0,620.0
SAL10181,Bankstown,NSW,34933.0,9.25,400.0,400.0,400.0
SAL10182,Bankstown Aerodrome,NSW,5.0,5.43,225.0,225.0,225.0
SAL10183,Bannaby,NSW,47.0,356.89,0.0,0.0,0.0
SAL10184,Bannister (Nsw),NSW,141.0,162.65,660.0,660.0,660.0
SAL10185,Banoon,NSW,19.0,166.27,150.0,150.0,150.0
SAL10186,Banora Point,NSW,16460.0,11.98,440.0,440.0,440.0
SAL10187,Banyabba,NSW,31.0,273.02,450.0,450.0,450.0
SAL10188,Bar Beach,NSW,1292.0,0.72,393.0,393.0,393.0
SAL10189,Bar Point,NSW,122.0,14.47,300.0,300.0,300.0
SAL10190,Bara,NSW,19.0,38.99,280.0,280.0,280.0
SAL10191,Baradine,NSW,783.0,1635.78,157.0,157.0,157.0
SAL10192,Barangaroo,NSW,220.0,0.32,1246.0,1246.0,1246.0
SAL10193,Barcoongere,NSW,0.0,258.32,0.0,0.0,0.0
SAL10194,Barden Ridge,NSW,4129.0,8.17,685.0,685.0,685.0
SAL10195,Bardia,NSW,5747.0,3.08,550.0,550.0,550.0
SAL10196,Bardwell Park,NSW,2320.0,1.39,550.0,550.0,550.0
SAL10197,Bardwell Valley,NSW,2344.0,0.91,550.0,550.0,550.0
SAL10198,Barellan,NSW,459.0,1445.17,200.0,200.0,200.0
SAL10199,Bargo,NSW,4516.0,72.08,410.0,410.0,410.0
SAL10200,Barham,NSW,1569.0,716.71,185.0,185.0,185.0
SAL10201,Barigan,NSW,0.0,174.78,0.0,0.0,0.0
SAL10202,Barkers Vale,NSW,196.0,33.82,260.0,260.0,260.0
SAL10203,Barmedman,NSW,404.0,1035.49,190.0,190.0,190.0
SAL10204,Barneys Reef,NSW,0.0,21.69,0.0,0.0,0.0
SAL10205,Barnsley,NSW,1735.0,5.02,360.0,360.0,360.0
SAL10206,Barooga,NSW,1888.0,149.86,260.0,260.0,260.0
SAL10207,Barraba,NSW,1329.0,705.5,195.0,195.0,195.0
SAL10208,Barrack Heights,NSW,6003.0,3.57,380.0,380.0,380.0
SAL10209,Barrack Point,NSW,725.0,0.64,480.0,480.0,480.0
